unit,site,name,site_name,state
101,0,IVF Australia ,Western Sydney,NSW
101,1,IVF Australia ,North Shore,NSW
101,2,IVF Australia ,Central Coast,NSW
101,7,IVF Australia ,Eastern Suburbs,NSW
101,10,IVF Australia ,"The Fertility Centre, Liverpool",NSW
101,11,IVF Australia ,Woolongong,NSW
101,16,IVF Australia ,Hunter IVF,NSW
102,0,Westmead Fertility Centre,,NSW
103,2,Genea ,Illawarra,NSW
103,14,Genea ,Northwest,NSW
103,4,Genea ,RPAH,NSW
103,6,Genea ,Liverpool,NSW
103,1,Genea ,Coffs Harbour,NSW
103,7,Genea ,Lismore,NSW
103,8,Genea ,Orange,NSW
103,10,Genea ,Canberra,ACT
103,0,Genea ,Kent Street,NSW
103,5,Genea ,Newcastle,NSW
105,0,Monash IVF Reproductive Medicine ,Albury,NSW
105,1,Monash IVF Reproductive Medicine,Wagga,NSW
106,0,Fertility First,,NSW
108,0,"Royal Hospital for Women, Randwick",,NSW
109,0,Demeter Laboratories,,NSW
110,0,Primary IVF ,Sydney CBD/Darlinghurst,NSW
110,1,Primary IVF ,Preston,VIC
201,0,Monash IVF,Epworth Hospital,VIC
201,1,Monash IVF,Monash Surgical Private Hospital,VIC
201,2,Monash IVF,Queensland,QLD
201,3,Monash IVF,Gold Coast,QLD
201,7,Monash IVF,Geelong,VIC
201,10,Monash IVF,Sale,VIC
201,12,Monash IVF,Bendigo,VIC
201,17,Monash IVF,Rockhampton,QLD
201,19,Monash IVF,Townsville,QLD
201,22,Monash IVF,Sunshine,VIC
201,23,Monash IVF,Frankston,VIC
201,30,Monash IVF,Compass Fertility (prev. ISIS Fertility),ACT
201,18,Monash IVF ,"Auchenflower, Wesley Hospital",QLD
201,25,Monash IVF ,Hawthorn,VIC
202,1,Melbourne IVF ,East Melbourne,VIC
202,3,Melbourne IVF ,Mt Waverley,VIC
202,5,Melbourne IVF ,Werribee,VIC
202,0,Melbourne IVF ,"Royal Womens Hospital, Parkville",VIC
203,2,Monash IVF NSW,Bondi Junction (prev. Fertility East),NSW
203,1,Monash IVF NSW,Parramatta (prev. Next Generation Fertility),NSW
203,0,Monash IVF NSW,Mosman (prev. Bump IVF),NSW
205,0,Ballarat IVF,,VIC
301,0,QFG 1,Spring Hill,QLD
301,1,QFG 1,Mackay,QLD
301,4,QFG 1,Springwood,QLD
301,2,QFG 1,North Brisbane,QLD
302,1,QFG 2,Toowoomba,QLD
302,0,QFG 2,Cairns,QLD
302,2,QFG 2,Townsville,QLD
304,0,QFG 2,Sunshine Coast (incl. The Fertility Centre Sunshine Coast),QLD
305,0,Coastal IVF,,QLD
307,5,City Fertility Centre,Bundoora,VIC
307,0,City Fertility Centre,Brisbane City,QLD
307,3,City Fertility Centre,Brisbane Southside,QLD
307,4,City Fertility Centre,Adelaide,SA
307,1,City Fertility Centre,Gold Coast,QLD
307,2,City Fertility Centre,Melbourne,VIC
307,6,City Fertility Centre,Sydney,NSW
308,1,Fertility Solutions,Sunshine Coast (prev. Affordable IVF),QLD
308,2,Fertility Solutions,Bundaberg Lab (prev. Affordable IVF),QLD
308,0,Fertility Solutions,Sunshine Coast,QLD
309,0,Life Fertility Clinic,,QLD
310,0,CARE (prev. Assisted Conception Australia),,QLD
311,0,QFG Gold Coast,,QLD
312,0,Cairns Fertility Centre,,QLD
401,2,Repromed,Darwin,NT
401,1,Repromed,Dulwich,SA
402,0,Flinders Reproductive Medicine,,SA
402,1,Fertility SA,,SA
403,0,MyIVF North Lakes,,QLD
501,0,PIVET Medical Centre,,WA
502,0,Concept Fertility Centre,,WA
503,0,Fertility North,,WA
504,0,Hollywood Fertility Centre,,WA
505,0,The Keogh Institute for Medical Research,,WA
506,1,Fertility Specialists,South,WA
506,0,Fertility Specialists,WA,WA
601,0,Tasmanian IVF,Hobart,TAS
601,1,Tasmanian IVF,Launceston,TAS
608,1,Fertility Great Southern,,WA
701,0,Canberra Fertility Centre,,ACT
901,3,Fertility Associates,Hamilton,NZ
901,2,Fertility Associates,Wellington,NZ
901,0,Fertility Associates ,Auckland,NZ
901,4,Fertility Associates ,Christchurch,NZ
902,0,Fertility Plus,,NZ
901,5,Fertility Associates,Dunedin (prev. Otago Fertility Services),NZ
905,0,Repromed NZ,Auckland,NZ
906,16,Genea Oxford Fertility ,Christchurch,NZ
